Phi,growth_rate,acetate_secretion,o2_uptake,ethanol_secretion,co2_secretion,frac_fermentative,glucose_uptake,status
500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,infeasible
2206.8965517241377,0.05909759072086853,2.3091485614998053,2.9271291127883914,0.0,2.995451837420789,0.43531055835415655,10.0,optimal
3913.793103448276,0.17705421118608694,3.1967616454676437,5.048208679129998,0.0,5.252901052682233,0.37833008957477093,10.0,optimal
5620.689655172414,0.2950108316513055,4.084374729435482,7.1692882454716065,0.0,7.510350267943681,0.3522614577196701,10.0,optimal
7327.586206896552,0.412967452116524,4.971987813403324,9.29036781181321,0.0,9.767799483205128,0.3373174736753055,10.0,optimal
9034.48275862069,0.5309240725817426,5.859600897371164,11.411447378154824,0.0,12.025248698466575,0.3276293080337026,10.0,optimal
10741.379310344828,0.648880693046961,6.747213981339,13.532526944496425,0.0,14.282697913728018,0.320838908646198,10.0,optimal
12448.275862068966,0.7463422037500704,5.5672134932348545,16.24176114008863,0.0,17.104607361844092,0.2455565227345948,10.0,optimal
14155.172413793103,0.8225406158933845,2.2421222163114574,19.56118918169173,0.0,20.512128387726083,0.09853641217758288,10.0,optimal
15862.068965517241,0.8739215069684283,0.0,21.79949265599873,0.0,22.80983331020493,0.0,10.0,optimal
17568.96551724138,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
19275.862068965518,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
20982.758620689656,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
22689.655172413793,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
24396.55172413793,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
26103.44827586207,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
27810.344827586207,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
29517.241379310344,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
31224.137931034482,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
32931.03448275862,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
34637.93103448276,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
36344.8275862069,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
38051.724137931036,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
39758.620689655174,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
41465.51724137931,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
43172.41379310345,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
44879.31034482759,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
46586.206896551725,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
48293.10344827586,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
50000.0,0.873921506968431,0.0,21.799492655998762,0.0,22.80983331020498,0.0,10.0,optimal
